id f0 f1 f2 product
0 kBEdx -15.001348 -8.276000 -0.005876 3.179103
1 62mP7 14.272088 -3.475083 0.999183 26.953261
2 vyE1P 6.263187 -5.948386 5.001160 134.766305
3 KcrkZ -13.081196 -11.506057 4.999415 137.945408
4 AHL4O 12.702195 -8.147433 5.004363 134.766305
5 HHckp -3.327590 -2.205276 3.003647 84.038886
6 h5Ujo -11.142655 -10.133399 4.002382 110.992147
7 muH9x 4.234715 -0.001354 2.004588 53.906522
8 YiRkx 13.355129 -0.332068 4.998647 134.766305
9 jG6Gi 1.069227 -11.025667 4.997844 137.945408
10 7uHUe 11.777049 -5.334084 2.003033 53.906522
11 OXyvW 16.320755 -0.562946 -0.001783 0.000000
12 cB8re 7.736313 -6.093374 3.982531 107.813044
13 igmai 6.695604 -0.749449 -0.007630 0.000000
14 3OdkE -10.985487 -5.605994 2.991130 84.038886
15 3tVUO -0.347599 -6.275884 -0.003448 3.179103
16 siveY 12.300570 2.944454 2.005541 53.906522
17 gIqzq 8.900460 -5.632857 4.994324 134.766305
18 zO5EU -13.412826 -4.729495 2.998590 84.038886
19 dkcEb -4.373526 -8.590017 2.995379 84.038886
20 X1FZJ -5.729511 -1.861370 3.993732 110.992147
21 eVFPS 2.195392 -3.829295 4.993895 134.766305
22 TovFu 9.391662 2.386681 5.002290 134.766305
23 KQxAV 10.852199 -3.412277 4.996318 134.766305
24 II0xj 2.581392 -2.691426 2.004898 53.906522
25 AOrbK 2.338888 -8.508383 2.008130 57.085625
26 DbtST -0.524255 -4.685527 4.002212 110.992147
27 mqtSN 8.921872 -2.863219 0.993312 26.953261
28 dqN1d 10.373859 1.145210 4.000138 107.813044
29 JPiGi -10.926274 -4.017907 0.005142 3.179103
30 YVVPX 11.726927 -4.285120 1.003547 26.953261
31 4NJv3 -7.736177 -4.857165 2.995679 84.038886
32 2DKVI 10.209863 -13.659814 5.000668 137.945408
33 M57PU -2.286528 -12.063964 2.007202 57.085625
34 5O3Zt -4.792992 -7.569682 1.004281 30.132364
35 BZWmy 0.695137 -10.214670 2.004539 53.906522
36 aArVp 5.897063 -5.249982 2.994434 80.859783
37 EHH3V -4.302352 -1.846049 4.000282 110.992147
38 fNWXc -5.769301 -5.648602 4.000441 110.992147
39 957X9 6.037017 2.572420 2.001547 53.963547
 id f0 f1 f2 product
0 fwXo0 -1.146987 0.963328 -0.828965 27.758673
1 WJtFt 0.262778 0.269839 -2.530187 56.069697
2 ovLUW 0.194587 0.289035 -5.586433 62.871910
3 q6cA6 2.236060 -0.553760 0.930038 114.572842
4 WPMUX -0.515993 1.716266 5.899011 149.600746
5 LzZXx -0.758092 0.710691 2.585887 90.222465
6 WBHRv -0.574891 0.317727 1.773745 45.641478
7 XO8fn -1.906649 -2.458350 -0.177097 72.480640
8 ybmQ5 1.776292 -0.279356 3.004156 106.616832
9 OilcN -1.214452 -0.439314 5.922514 52.954532
10 myq2g 0.628659 -2.120049 5.362437 166.799132
11 V9R1y -0.544565 0.039088 8.635293 150.859435
12 bKDo0 -0.960453 -0.127113 7.764734 96.910855
13 eXvhs 1.432891 -1.242074 3.557168 8.704162
14 wI4j3 -0.935464 2.420523 1.150536 116.829811
15 XOWTx -2.628353 0.937303 0.057847 68.655498
16 2oVFv -0.428050 -2.246556 6.970420 84.500464
17 0wbDA 0.735307 0.913124 7.899539 96.284701
18 NhHaR 0.706261 -0.993553 3.155582 48.052268
19 DMNMZ -1.867846 2.744144 5.918278 153.815137
20 3mCRf -1.250704 0.540611 3.438567 65.774963
21 fRllb -0.307564 -0.942793 1.571509 113.080584
22 6GvzI -1.221304 1.262642 5.198435 105.207088
23 JwbXn 0.426604 1.142824 6.360318 108.375984
24 urwUC 2.378418 0.665386 1.282287 56.478241
25 KMQl3 0.384287 -2.416239 -1.111076 95.466896
26 Coy8M 0.927511 0.769120 3.512492 94.251843
27 EXElh -0.387211 0.160795 4.097400 77.404287
28 uaZJK 0.513782 1.102372 -0.305253 25.626312
29 6UkRY 1.043879 -0.570642 0.751992 103.263475
30 PMtzo 1.749419 2.974820 1.663992 145.730271
31 y3a1h -1.764716 1.175664 2.898374 118.130136
32 wBJrC -0.263935 -0.442263 3.326272 40.285336
33 KLqMx -0.452600 -2.028847 -5.497120 29.861027
34 HE3Rv 1.903590 1.077743 -1.622128 66.334870
35 FAoc2 1.320987 -1.343799 0.935470 107.040058
36 dQ5QX -1.231645 0.038604 3.394944 49.949507
37 FmeFh 1.549409 -0.263697 2.151824 112.645805
38 nja19 -1.364640 3.167210 6.533984 62.207685
